,Unnamed: 0.1,Unnamed: 0,env_step,episode,episode_reward,eval_total_time,frame,step,time,env,seed,agent,_step
121,121.0,39.0,976000.0,975.0,969.2,5732.985917329788,976000.0,488000.0,5732.98586845398,reacher-hard,637,TCRL,
122,122.0,40.0,1001000.0,1000.0,959.4,5902.2984354496,1001000.0,500500.0,5902.298380374908,reacher-hard,637,TCRL,
123,123.0,0.0,1000.0,0.0,4.4,7.550483226776123,1000.0,500.0,7.550415992736816,reacher-hard,624,TCRL,
124,124.0,1.0,26000.0,25.0,1.7,89.90326309204102,26000.0,13000.0,89.90320944786072,reacher-hard,624,TCRL,
125,125.0,2.0,51000.0,50.0,280.0,214.5851993560791,51000.0,25500.0,214.5851488113404,reacher-hard,624,TCRL,
126,126.0,3.0,76000.0,75.0,280.2,341.6468653678894,76000.0,38000.0,341.6468138694763,reacher-hard,624,TCRL,
127,127.0,4.0,101000.0,100.0,144.6,470.2330372333527,101000.0,50500.0,470.2329864501953,reacher-hard,624,TCRL,
128,128.0,5.0,126000.0,125.0,193.1,600.5490579605103,126000.0,63000.0,600.54900598526,reacher-hard,624,TCRL,
129,129.0,6.0,151000.0,150.0,573.1,732.6099319458008,151000.0,75500.0,732.6098799705505,reacher-hard,624,TCRL,
130,130.0,7.0,176000.0,175.0,225.1,866.3703327178955,176000.0,88000.0,866.3702757358551,reacher-hard,624,TCRL,
131,131.0,8.0,201000.0,200.0,611.6,1001.5738286972046,201000.0,100500.0,1001.5737733840942,reacher-hard,624,TCRL,
132,132.0,9.0,226000.0,225.0,747.6,1138.3566720485687,226000.0,113000.0,1138.3566136360168,reacher-hard,624,TCRL,
133,133.0,10.0,251000.0,250.0,734.9,1276.901096343994,251000.0,125500.0,1276.9010455608368,reacher-hard,624,TCRL,
134,134.0,11.0,276000.0,275.0,385.2,1416.7817330360413,276000.0,138000.0,1416.7816808223724,reacher-hard,624,TCRL,
135,135.0,12.0,301000.0,300.0,497.9,1558.4462957382202,301000.0,150500.0,1558.446246623993,reacher-hard,624,TCRL,
136,136.0,13.0,326000.0,325.0,546.4,1701.7393045425415,326000.0,163000.0,1701.739252090454,reacher-hard,624,TCRL,
137,137.0,14.0,351000.0,350.0,754.5,1844.1500861644745,351000.0,175500.0,1844.150032281876,reacher-hard,624,TCRL,
138,138.0,15.0,376000.0,375.0,720.2,1986.7175118923187,376000.0,188000.0,1986.717460632324,reacher-hard,624,TCRL,
139,139.0,16.0,401000.0,400.0,783.9,2130.6013197898865,401000.0,200500.0,2130.601267814636,reacher-hard,624,TCRL,
140,140.0,17.0,426000.0,425.0,885.1,2275.839324235916,426000.0,213000.0,2275.839270591736,reacher-hard,624,TCRL,
141,141.0,18.0,451000.0,450.0,749.4,2422.658494472504,451000.0,225500.0,2422.6584420204163,reacher-hard,624,TCRL,
142,142.0,19.0,476000.0,475.0,885.1,2571.1757616996765,476000.0,238000.0,2571.175709962845,reacher-hard,624,TCRL,
143,143.0,20.0,501000.0,500.0,960.0,2720.7709345817566,501000.0,250500.0,2720.770884513855,reacher-hard,624,TCRL,
144,144.0,21.0,526000.0,525.0,856.4,2871.698007583618,526000.0,263000.0,2871.697956323624,reacher-hard,624,TCRL,
145,145.0,22.0,551000.0,550.0,865.7,3024.4033575057983,551000.0,275500.0,3024.403306245804,reacher-hard,624,TCRL,
146,146.0,23.0,576000.0,575.0,951.4,3178.3126249313354,576000.0,288000.0,3178.3125734329224,reacher-hard,624,TCRL,
147,147.0,24.0,601000.0,600.0,946.5,3333.453068733216,601000.0,300500.0,3333.453012704849,reacher-hard,624,TCRL,
148,148.0,25.0,626000.0,625.0,960.5,3489.928018093109,626000.0,313000.0,3489.9279685020447,reacher-hard,624,TCRL,
149,149.0,26.0,651000.0,650.0,926.4,3648.958741903305,651000.0,325500.0,3648.958687782288,reacher-hard,624,TCRL,
150,150.0,27.0,676000.0,675.0,950.9,3807.742639303208,676000.0,338000.0,3807.742583274841,reacher-hard,624,TCRL,
151,151.0,28.0,701000.0,700.0,950.4,3968.075306892395,701000.0,350500.0,3968.075254678726,reacher-hard,624,TCRL,
152,152.0,29.0,726000.0,725.0,967.4,4128.81683921814,726000.0,363000.0,4128.816788196564,reacher-hard,624,TCRL,
153,153.0,30.0,751000.0,750.0,955.1,4290.472364187241,751000.0,375500.0,4290.472312927246,reacher-hard,624,TCRL,
154,154.0,31.0,776000.0,775.0,949.1,4453.230508804321,776000.0,388000.0,4453.23045873642,reacher-hard,624,TCRL,
155,155.0,32.0,801000.0,800.0,951.0,4617.9704484939575,801000.0,400500.0,4617.970396518707,reacher-hard,624,TCRL,
156,156.0,33.0,826000.0,825.0,954.1,4782.715388536453,826000.0,413000.0,4782.715329170227,reacher-hard,624,TCRL,
157,157.0,34.0,851000.0,850.0,955.0,4944.508836984634,851000.0,425500.0,4944.508785486221,reacher-hard,624,TCRL,
158,158.0,35.0,876000.0,875.0,961.6,5104.181733846664,876000.0,438000.0,5104.181683540344,reacher-hard,624,TCRL,
159,159.0,36.0,901000.0,900.0,953.8,5267.215256214142,901000.0,450500.0,5267.21520614624,reacher-hard,624,TCRL,
160,160.0,37.0,926000.0,925.0,960.4,5432.06725525856,926000.0,463000.0,5432.067203760147,reacher-hard,624,TCRL,
161,161.0,38.0,951000.0,950.0,950.9,5598.091096639633,951000.0,475500.0,5598.091045618057,reacher-hard,624,TCRL,
162,162.0,39.0,976000.0,975.0,967.5,5763.560905218124,976000.0,488000.0,5763.560849905014,reacher-hard,624,TCRL,
163,163.0,40.0,1001000.0,1000.0,948.7,5929.482717990875,1001000.0,500500.0,5929.482663631439,reacher-hard,624,TCRL,
164,164.0,0.0,1000.0,0.0,0.0,7.772232294082642,1000.0,500.0,7.772168159484863,reacher-hard,177,TCRL,
165,165.0,1.0,26000.0,25.0,0.2,97.55886387825012,26000.0,13000.0,97.55880427360536,reacher-hard,177,TCRL,
166,166.0,2.0,51000.0,50.0,670.4,233.05482530593872,51000.0,25500.0,233.05476140975952,reacher-hard,177,TCRL,
167,167.0,3.0,76000.0,75.0,661.7,370.910521030426,76000.0,38000.0,370.91046357154846,reacher-hard,177,TCRL,
168,168.0,4.0,101000.0,100.0,480.0,510.6778059005737,101000.0,50500.0,510.67775201797485,reacher-hard,177,TCRL,
169,169.0,5.0,126000.0,125.0,752.1,652.2177209854126,126000.0,63000.0,652.217668056488,reacher-hard,177,TCRL,
170,170.0,6.0,151000.0,150.0,907.4,796.4375836849213,151000.0,75500.0,796.4375233650208,reacher-hard,177,TCRL,
171,171.0,7.0,176000.0,175.0,898.7,938.7105972766876,176000.0,88000.0,938.7105405330658,reacher-hard,177,TCRL,
172,172.0,8.0,201000.0,200.0,958.5,1083.5298781394958,201000.0,100500.0,1083.529818534851,reacher-hard,177,TCRL,
173,173.0,9.0,226000.0,225.0,959.0,1229.8759677410126,226000.0,113000.0,1229.875909090042,reacher-hard,177,TCRL,
174,174.0,10.0,251000.0,250.0,954.5,1378.6492087841034,251000.0,125500.0,1378.64915060997,reacher-hard,177,TCRL,
175,175.0,11.0,276000.0,275.0,960.8,1529.0360732078552,276000.0,138000.0,1529.0360140800476,reacher-hard,177,TCRL,
176,176.0,12.0,301000.0,300.0,970.7,1680.6682889461515,301000.0,150500.0,1680.6682348251345,reacher-hard,177,TCRL,
177,177.0,13.0,326000.0,325.0,874.6,1834.22486782074,326000.0,163000.0,1834.2248129844663,reacher-hard,177,TCRL,
178,178.0,14.0,351000.0,350.0,954.4,1989.078652620316,351000.0,175500.0,1989.078600168228,reacher-hard,177,TCRL,
179,179.0,15.0,376000.0,375.0,873.0,2145.1296043396,376000.0,188000.0,2145.1295495033264,reacher-hard,177,TCRL,
180,180.0,16.0,401000.0,400.0,962.4,2302.733556032181,401000.0,200500.0,2302.733501911164,reacher-hard,177,TCRL,
181,181.0,17.0,426000.0,425.0,972.7,2461.8145830631256,426000.0,213000.0,2461.8145298957825,reacher-hard,177,TCRL,
182,182.0,18.0,451000.0,450.0,963.3,2622.0513730049133,451000.0,225500.0,2622.0513167381287,reacher-hard,177,TCRL,
183,183.0,19.0,476000.0,475.0,911.8,2787.491920232773,476000.0,238000.0,2787.4918653965,reacher-hard,177,TCRL,
184,184.0,20.0,501000.0,500.0,964.3,2949.630638599396,501000.0,250500.0,2949.6305849552155,reacher-hard,177,TCRL,
185,185.0,21.0,526000.0,525.0,911.6,3112.9889163970947,526000.0,263000.0,3112.98886179924,reacher-hard,177,TCRL,
186,186.0,22.0,551000.0,550.0,936.2,3277.689072370529,551000.0,275500.0,3277.689012527466,reacher-hard,177,TCRL,
187,187.0,23.0,576000.0,575.0,962.2,3443.8593015670776,576000.0,288000.0,3443.8592467308044,reacher-hard,177,TCRL,
188,188.0,24.0,601000.0,600.0,967.8,3611.1744894981375,601000.0,300500.0,3611.174436807632,reacher-hard,177,TCRL,
189,189.0,25.0,626000.0,625.0,963.0,3779.537766933441,626000.0,313000.0,3779.537707090378,reacher-hard,177,TCRL,
190,190.0,26.0,651000.0,650.0,962.7,3951.1667799949646,651000.0,325500.0,3951.166718959808,reacher-hard,177,TCRL,
191,191.0,27.0,676000.0,675.0,961.3,4121.113554477692,676000.0,338000.0,4121.113499403,reacher-hard,177,TCRL,
192,192.0,28.0,701000.0,700.0,974.4,4292.391194820404,701000.0,350500.0,4292.391140699387,reacher-hard,177,TCRL,
193,193.0,29.0,726000.0,725.0,852.3,4465.486384153366,726000.0,363000.0,4465.486331701279,reacher-hard,177,TCRL,
194,194.0,30.0,751000.0,750.0,952.0,4639.482256174088,751000.0,375500.0,4639.4821989536285,reacher-hard,177,TCRL,
195,195.0,31.0,776000.0,775.0,960.4,4815.129514217377,776000.0,388000.0,4815.129461765289,reacher-hard,177,TCRL,
196,196.0,32.0,801000.0,800.0,967.8,4991.071669816971,801000.0,400500.0,4991.071615695953,reacher-hard,177,TCRL,
197,197.0,33.0,826000.0,825.0,964.1,5168.384142875671,826000.0,413000.0,5168.384089231491,reacher-hard,177,TCRL,
198,198.0,34.0,851000.0,850.0,955.0,5346.617462396622,851000.0,425500.0,5346.617408752441,reacher-hard,177,TCRL,
199,199.0,35.0,876000.0,875.0,958.4,5526.1858649253845,876000.0,438000.0,5526.185812950134,reacher-hard,177,TCRL,
200,200.0,36.0,901000.0,900.0,968.3,5707.158423900604,901000.0,450500.0,5707.158371925354,reacher-hard,177,TCRL,
201,201.0,37.0,926000.0,925.0,954.3,5889.596937179565,926000.0,463000.0,5889.596884965897,reacher-hard,177,TCRL,
202,202.0,38.0,951000.0,950.0,973.2,6072.828457832336,951000.0,475500.0,6072.828400373459,reacher-hard,177,TCRL,
203,203.0,39.0,976000.0,975.0,971.7,6257.518195867538,976000.0,488000.0,6257.518144130707,reacher-hard,177,TCRL,
204,204.0,40.0,1001000.0,1000.0,961.3,6446.138149023056,1001000.0,500500.0,6446.138095617294,reacher-hard,177,TCRL,
205,205.0,0.0,1000.0,0.0,19.93883419328913,10.034850597381592,1000.0,500.0,10.034788608551024,walker-run,670,TCRL,
206,206.0,1.0,26000.0,25.0,91.63653684672732,100.12664532661438,26000.0,13000.0,100.12658786773682,walker-run,670,TCRL,
207,207.0,2.0,51000.0,50.0,172.86498086441037,232.736741065979,51000.0,25500.0,232.73668837547305,walker-run,670,TCRL,
208,208.0,3.0,76000.0,75.0,278.74621681884554,367.8494679927826,76000.0,38000.0,367.8494153022766,walker-run,670,TCRL,
209,209.0,4.0,101000.0,100.0,349.4280473019176,505.1122567653656,101000.0,50500.0,505.1122057437897,walker-run,670,TCRL,
210,210.0,5.0,126000.0,125.0,452.6278669122423,643.8455805778503,126000.0,63000.0,643.8455286026001,walker-run,670,TCRL,
211,211.0,6.0,151000.0,150.0,472.3528091449722,784.8784096240997,151000.0,75500.0,784.8783564567566,walker-run,670,TCRL,
212,212.0,7.0,176000.0,175.0,475.5011164432819,927.935569524765,176000.0,88000.0,927.9355134963988,walker-run,670,TCRL,
